"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"186678810551390208","","","","","2012-04-02 04:57:51 +0000","<a href=""https://embr.in"" rel=""nofollow"">embr</a>","?,???.. RT @zodiac_2012: ???????? [define]: ????Google ??????????????????????????????? http://t.co/94knXpJ6 //?????????","http://t.cn/hrHkNV"
"186678516492931072","","","","","2012-04-02 04:56:41 +0000","<a href=""https://embr.in"" rel=""nofollow"">embr</a>","???????? [define]: ????Google ??????????????????????????????? http://t.co/94knXpJ6 //?????????","http://t.cn/hrHkNV"
"186611943853924352","","","","","2012-04-02 00:32:09 +0000","<a href=""https://embr.in"" rel=""nofollow"">embr</a>","????1984??"
"186611309385760768","","","186609963731386369","50337592","2012-04-02 00:29:37 +0000","<a href=""https://embr.in"" rel=""nofollow"">embr</a>","RT @ImmaFrady: ????????????????????????????GFW?????????????????????????????????(?O?)??~??(?O?)??~??(?O?)??~??????????????????????&lt;(?? ..."
